replicate,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast,sampled_groups,sampled_rows
352,0.456652809393099,0.465993670607022,-0.009340861213923024,181,327
353,0.47371086324899786,0.48656744822158354,-0.012856584972585683,181,318
354,0.45749545475830505,0.5090458948797255,-0.05155044012142046,181,306
355,0.3835435175055272,0.5312314943646143,-0.14768797685908708,181,290
356,0.47106769199792453,0.46485950295000844,0.006208189047916091,181,328
357,0.42890487287941703,0.4037989662168949,0.02510590666252216,181,336
358,0.5229188238866724,0.47864687810608114,0.04427194578059129,181,298
359,0.4328132702356305,0.4740815742932942,-0.041268304057663685,181,296
360,0.42219026839142343,0.4361056463468985,-0.013915377955475094,181,345
361,0.46835041375857694,0.4694256743946185,-0.001075260636041575,181,306
362,0.46945942596364293,0.5404491608783737,-0.07098973491473076,181,298
363,0.4557774648628249,0.4360644471195583,0.019713017743266614,181,346
364,0.4579424875521676,0.39894036311946757,0.05900212443270003,181,338
365,0.45291172106808203,0.46021545158290766,-0.007303730514825635,181,341
366,0.5091174131990458,0.47485553387422547,0.03426187932482033,181,301
367,0.40211971659059526,0.4324257755130196,-0.030306058922424328,181,329
368,0.4375508736515599,0.5112450777412414,-0.07369420408968147,181,301
369,0.47336669590190716,0.4784382004908907,-0.005071504588983533,181,301
370,0.42417862070643236,0.48479706132026584,-0.06061844061383348,181,296
371,0.43717778299059085,0.461345864632448,-0.02416808164185713,181,348
372,0.46759781434254505,0.47929590445441134,-0.011698090111866288,181,298
373,0.38970320508717515,0.4433069353038732,-0.053603730216698064,181,328
374,0.46316014124552896,0.49635190418379743,-0.033191762938268476,181,324
375,0.49555456084433785,0.5178921951015572,-0.022337634257219297,181,294
376,0.467569208241225,0.4035127064238906,0.06405650181733441,181,338
377,0.4488813148671736,0.4521188324913603,-0.0032375176241867254,181,319
378,0.45802241531032145,0.4288421884565767,0.029180226853744773,181,323
379,0.3994188759538207,0.47276371129364614,-0.07334483533982544,181,312
380,0.4731800765840249,0.4911261075713091,-0.0179460309872842,181,324
381,0.46639145265036613,0.49784753056487485,-0.03145607791450872,181,317
382,0.452533050391108,0.40554607647084134,0.046986973920266684,181,347
383,0.4255016683915625,0.4350630233983677,-0.009561355006805217,181,341
384,0.4259911512972724,0.4582012274732489,-0.03221007617597649,181,318
385,0.5023026492733775,0.43549762327251756,0.06680502600085997,181,341
386,0.43388269803318075,0.41857081740462593,0.01531188062855482,181,335
387,0.38013109098468056,0.4566905918259151,-0.07655950084123453,181,326
388,0.43469930209734287,0.4317168727534386,0.002982429343904247,181,329
389,0.4798751231088431,0.49315461254029785,-0.013279489431454738,181,329
390,0.43499563606441394,0.4614390936875409,-0.026443457623126942,181,336
391,0.3755694227275633,0.45608740638344164,-0.08051798365587837,181,351
392,0.4988674573438346,0.46898067661090403,0.02988678073293055,181,325
393,0.432928513885216,0.4451295115714478,-0.012200997686231785,181,330
394,0.3543542981840854,0.39367656916089,-0.039322270976804574,181,347
395,0.3683515906598832,0.43312804222836626,-0.06477645156848305,181,316
396,0.46808497117665565,0.47444811133853065,-0.006363140161875003,181,317
397,0.41607856048006564,0.4612137767898912,-0.04513521630982559,181,321
398,0.5080491797193999,0.5049844333965586,0.003064746322841261,181,293
399,0.4776145482306954,0.5241089968836562,-0.04649444865296082,181,307
400,0.3804933991208502,0.4410132115163495,-0.060519812395499306,181,357
401,0.4772332803337673,0.4968000161717439,-0.019566735837976634,181,306
402,0.3854776099681424,0.45143422263690625,-0.06595661266876385,181,304
403,0.4720588474933063,0.5403849971462319,-0.0683261496529256,181,322
404,0.4175448965436918,0.46225761304885754,-0.04471271650516573,181,335
405,0.4574869443466086,0.45529532254143273,0.0021916218051758474,181,311
406,0.4494394183803044,0.4833591542434298,-0.03391973586312541,181,333
407,0.5496471681532091,0.505452892018374,0.044194276134835175,181,296
408,0.45807469708366216,0.4406434929888026,0.017431204094859543,181,329
409,0.4821301733875389,0.5345845750923199,-0.05245440170478105,181,292
410,0.48261704270914285,0.452025771787914,0.030591270921228875,181,317
411,0.4275390412133511,0.4246460833216648,0.0028929578916863097,181,302
